[1,"3. Bernie Sanders suppo…"]
[58, "RT @danney_williams: I'm Danney Williams the son of Bill Clinton. Retweet to help me get my story out. #ClintonKid https://t.co/84igUIxjLU"]
[59, "I'm pretty sure CL is going to win because a) it's their last poll b) it'll give them more hits considering the noise they're making."]
[60, "RT @CNNPolitics: Sen. Lindsey Graham says Donald Trump's foreign policy would lead to "another 9/11" https://t.co/gj5VfG0ZR2 https://t.co/5…"]
[61, "RT @dcexaminer: Larry Wilmore: Morning Joe is so far up Trump's a**, they bumped into Chris Christie https://t.co/nt6h6vjHTJ #WHCD https://…"]
[62, "RT @TYBOGGIENYC: #Follow #TYBOGGIENYC African American Reporter Interviews KKK Grand Imperial Wizard Who Endorses Donald Trump! ... https:/…"]
[63, "RT @PatriotByGod: I used to respect and support @tedcruz but he is going out with less class then Jeb &amp; Rubio. Cruz is all done. https://t.…"]
[64, "RT @mitchellvii: This is a great idea!  Everyone, take a "T" pic and post it to show your support for Trump in Indiana today! https://t.co/…"]
[65, "Retweeted SarcasticRover (@SarcasticRover):"]
[66, "RT @FranklinMan25: Great to see people in Indiana rallying around Ted Cruz. Go #Hoosiers! Ted Cruz is the Constitutionalist we need! https:…"]
[67, "RT @Aye_Nathan56: Westbrook  https://t.co/ltsHRE7tC1"]
[68, "RT @CapehartJ: Would that Sen. Sanders spent as much time preparing and releasing those taxes as he does talking about a contested conventi…"]
[69, "@johnnysgrrl @HillaryClinton Yes something about this pic! The magic &amp; joy of Hillary is in this pic. #ImwithHer https://t.co/vTqMZeM9LG"]
[70, "RT @mitchellvii: Cruz says "elections are won" by stealing delegates.  No, Mr Cruz, THIS is how elections are won! https://t.co/hUECqdbES4"]
[71, "RT @mitchellvii: A very simple fact: This is an anti-establishment election, and the moment Cruz went deep establishment to steal delegates…"]
[72, "RT @AnnaKavanaugh: This may come as a shock but CNN blacked-out the #Bernie2016 press conf. Watch here! https://t.co/QZulGdpmtQ #FeelTheBer…"]
[73, "RT @PatriotByGod: I used to respect and support @tedcruz but he is going out with less class then Jeb &amp; Rubio. Cruz is all done. https://t.…"]
[74, "RT @DanScavino: This is a movement! VOTE #Trump on Tuesday, April 26th- and let's #MakeAmericaGreatAgain! #Trump2016 #TrumpTrain https://t.…"]
[75, "RT @joshtpm: Sanders has leveraged the least democratic parts of the process to build his numbers. That's fine. But he hasn't been cheated,…"]
[76, "RT @Hippy: The "I won't vote for Trump" starter pack https://t.co/f4jmM0RyOI"]
[77, "RT @FOXBaltimore: Sanders raises $26M in April, down from $46M in March: https://t.co/fhXGaK23Av #LiveOnFOX45 https://t.co/qTJ2qeUqXD"]
[78, "RT @tc_boone: #NeverTrump Is Not New And Andrew Breitbart Knew Trump Was A Fraud  https://t.co/8rbyYI9d12 #INPrimary #CAPrimary https://t.c…"]
[79, "Clinton Campaign Has Astounding Record Of Smugness Toward Young Voters - https://t.co/3mO2g00OI4"]
[80, "3. Bernie Sanders suppo…"]
